nationality,arrival_airport_iata,departure_airport_iata,departure_year,departure_month,departure_day,departure_date,arrival_airport_description,departure_airport_description,arrival_city,departure_city,arrival_country_code,departure_country_code,arrival_country,departure_country,zone,entries,investigated,alarms,document_type,gender,age_group,transit_flag,airline,flight_number,control_outcome,operator_notes,risk_code,Tipo Documento,FASCIA ETA
ALB,MXP,IST,2024,01,30,2024-01-30 15:50:00,MALPENSA,HAVALIMANI,MILANO,ISTANBUL,ITA,TUR,ITALIA,TURCHIA,2,1,1,1,VISTO,M,46-60,SINGOLA TRATTA,TURKISH AIRLINES,TK1875,,,,VISTO,46-60
ALB,MXP,TIA,2024,01,31,2024-01-31 20:55:00,MALPENSA,RINAS MOTHER TERESA,MILANO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,59,59,18,CARTA D'IDENTITÀ,M,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W46609,IN ATTESA,,,CARTA D'IDENTITÀ,31-45
AFG,MXP,JED,2024,01,31,2024-01-31 20:45:00,MALPENSA,KING ABDULAZIZ INTERNATIONAL,MILANO,JEDDAH,ITA,SAU,ITALIA,ARABIA SAUDITA,2,1,1,1,PERMESSO DI SOGGIORNO,M,N.D.,SINGOLA TRATTA,WIZZ AIR MALTA,W45692,IN ATTESA,,,PERMESSO DI SOGGIORNO,N.D.
ALB,MXP,TIA,2024,01,26,2024-01-26 06:20:00,MALPENSA,RINAS MOTHER TERESA,MILANO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,144,144,9,CARTA D'IDENTITÀ,M,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W46607,SEGNALATO,,,CARTA D'IDENTITÀ,31-45
ALB,FCO,TIA,2024,02,25,,FIUMICINO,RINAS MOTHER TERESA,ROMA,TIRANA,ITA,ALB,ITALIA,ALBANIA,5,110,111,6,PASSAPORTO,N.D.,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W43857,SEGNALATO,,,PASSAPORTO,0-17
ALB,MXP,KIV,2023,01,2,2024-01-02 10:00:00,MALPENSA,CHISINAU INTERNATIONAL AIRPORT,MILANO,CHISINAU,ITA,MDA,ITALIA,MOLDAVIA,2,1,1,1,PASSAPORTO,F,46-60,SINGOLA TRATTA,FLYONE,5F0295,IN ATTESA,,,PASSAPORTO,46-60
ALB,BGY,TIA,2023,01,28,2024-01-28 12:10:00,ORIO AL SERIO,RINAS MOTHER TERESA,BERGAMO,TIRANA,ITA,AL,ITALIA,ALBANIA,2,59,59,12,CARTA D'IDENTITÀ,F,N.D.,SINGOLA TRATTA,RYANAIR DAC,FR8350,OK,,,CARTA D'IDENTITÀ,N.D.
ALB,BGY,STN,2024,01,25,2024-01-25 13:15:00,ORIO AL SERIO,STANSTED,BERGAMO,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,2,4,4,0,CARTA D'IDENTITÀ,N.D.,61+,SINGOLA TRATTA,RYANAIR DAC,FR3674,,,,CARTA D'IDENTITÀ,61+
,PSA,TIA,2024,01,28,2024-01-28 16:05:00,GALILEO GALILEI,RINAS MOTHER TERESA,PISA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,113,113,22,CARTA D'IDENTITÀ,F,N.D.,SINGOLA TRATTA,WIZZ AIR MALTA,W46649,OK,,,CARTA D'IDENTITÀ,N.D.
ALB,MXP,SKP,2024,01,12,2024-01-12 19:40:00,MALPENSA,PETROVEC,MILANO,SKOPIE,ITA,MKD,ITALIA,MACEDONIA,2,1,1,0,VISTO,M,46-60,SINGOLA TRATTA,WIZZ AIR HUNGARY,W67741,OK,,,VISTO,46-60
AFG,MXP,LTN,2024,01,5,2024-01-05 17:30:00,MALPENSA,LONDON LUTON,MILANO,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,2,1,1,0,PASSAPORTO,F,N.D.,SINGOLA TRATTA,EASYJET,U22485,,,,PASSAPORTO,N.D.
ALB,SUF,TIA,2024,01,7,2024-01-07 20:00:00,LAMEZIA TERME,RINAS MOTHER TERESA,LAMEZIA TERME,TIRANA,ITA,ALB,ITALIA,ALBANIA,6,43,43,4,N.D.,M,61+,SINGOLA TRATTA,WIZZ AIR MALTA,W44819,IN ATTESA,,,N.D.,61+
ALB,VRN,TIA,2023,01,11,2024-01-11 16:15:00,VERONA VILLAFRANCA,RINAS MOTHER TERESA,VERONA,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,123,123,14,CARTA D'IDENTITÀ,N.D.,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,W43849,RESPINTO,,,CARTA D'IDENTITÀ,18-30
AFG,BGY,PEW,2024,01,18,2024-01-18 22:10:00,ORIO AL SERIO,PESHAWAR,BERGAMO,PESHAWAR,ITA,PAK,ITALIA,PAKISTAN,2,1,1,0,N.D.,M,61+,SINGOLA TRATTA,AIR ARABIA,G90712,IN ATTESA,,,N.D.,61+
ALB,MXP,SPX,2024,02,23,2024-02-23 12:05:00,MALPENSA,SPHINX INTERNATIONAL,MILANO,GIZA,ITA,EGY,ITALIA,EGITTO,2,2,2,4,VISTO,N.D.,61+,SINGOLA TRATTA,WIZZ AIR MALTA,W46366,,,,VISTO,61+
ALB,LIN,LCY,2024,02,2,2024-02-02 12:35:00,LINATE,LONDON CITY,MILANO,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,2,1,1,0,CARTA D'IDENTITÀ,N.D.,61+,SINGOLA TRATTA,ITA AIRWAYS,AZ0221,RESPINTO,,,CARTA D'IDENTITÀ,61+
ALB,BRI,TIA,2024,02,23,2024-02-23 16:55:00,PALESE,RINAS MOTHER TERESA,BARI,TIRANA,ITA,ALB,ITALIA,ALBANIA,9,27,27,1,CARTA D'IDENTITÀ,M,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W46647,,,,CARTA D'IDENTITÀ,0-17
ALB,GOA,TIA,2024,02,15,2024-02-15 05:35:00,CRISTOFORO COLOMBO,RINAS MOTHER TERESA,GENOVA,TIRANA,ITA,ALB,ITALIA,ALBANIA,1,2,3,0,PERMESSO DI SOGGIORNO,M,61+,SINGOLA TRATTA,ITA AIRWAYS,AZ 0507,RESPINTO,,,PERMESSO DI SOGGIORNO,61+
ALB,BLQ,STN,2024,02,19,2024-02-19 09:00:00,GUGLIELMO MARCONI,STANSTED,BOLOGNA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,8,2,2,0,CARTA D'IDENTITÀ,M,0-17,SINGOLA TRATTA,,FR0194,FERMATO,,,CARTA D'IDENTITÀ,0-17
ALB,CIA,TIA,2024,01,13,2024-01-03 08:55:00,CIAMPINO,RINAS MOTHER TERESA,ROMA,TIRANA,ITA,ALB,ITALIA,ALBANIA,5,103,103,,VISTO,M,0-17,SINGOLA TRATTA,RYANAIR DAC,FR8360,IN ATTESA,,,VISTO,0-17
ALB,BGY,DXB,2024,02,26,2024-02-26 18:00:00,ORIO AL SERIO,DUBAI INTERNATIONAL,BERGAMO,DUBAI,ITA,ARE,ITALIA,EMIRATI ARABI UNITI,2,1,1,0,N.D.,M,46-60,SINGOLA TRATTA,FLY DUBAI,FZ1571,SEGNALATO,,,N.D.,46-60
AGO,CIA,STN,2024,02,25,2024-02-25 12:20:00,CIAMPINO,STANSTED,ROMA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,5,1,0,0,N.D.,F,31-45,SINGOLA TRATTA,RYANAIR DAC,FR2510,FERMATO,,,N.D.,31-45
ALB,VCE,TIA,2024,01,6,2024-01-06 13:10:00,VENEZIA MARCO POLO,RINAS MOTHER TERESA,VENEZIA,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,65,65,11,N.D.,M,61+,SINGOLA TRATTA,WIZZ AIR MALTA,W46718,IN ATTESA,,,N.D.,61+
ALB,BLQ,TIA,2024,01,5,2024-01-05 11:55:00,GUGLIELMO MARCONI,RINAS MOTHER TERESA,BOLOGNA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,105,105,23,PASSAPORTO,N.D.,31-45,SINGOLA TRATTA,RYANAIR DAC,FR8399,IN ATTESA,,,PASSAPORTO,31-45
ALB,BGY,TIA,2024,01,19,2024-01-19 12:10:00,ORIO AL SERIO,RINAS MOTHER TERESA,BERGAMO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,95,95,4,N.D.,M,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,W43885,RESPINTO,,,N.D.,18-30
ALB,VRN,TIA,2024,01,27,2024-01-27 13:20:00,VERONA VILLAFRANCA,RINAS MOTHER TERESA,VERONA,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,152,152,15,PASSAPORTO,M,61+,SINGOLA TRATTA,WIZZ AIR MALTA,W43883,OK,,,PASSAPORTO,61+
,VCE,STN,2024,02,20,2024-02-20 08:45:00,VENEZIA MARCO POLO,STANSTED,VENEZIA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,4,0,2,0,N.D.,N.D.,46-60,SINGOLA TRATTA,RYANAIR DAC,FR0792,IN ATTESA,,,N.D.,46-60
ALB,CTA,TIA,2024,01,20,2024-01-20 13:05:00,FONTANAROSSA,RINAS MOTHER TERESA,CATANIA,TIRANA,ITA,ALB,ITALIA,ALBANIA,7,60,60,6,PASSAPORTO,M,61+,SINGOLA TRATTA,WIZZ AIR MALTA,W46605,RESPINTO,,,PASSAPORTO,61+
ALB,GOA,TIA,2024,01,14,2024-01-14 19:45:00,CRISTOFORO COLOMBO,RINAS MOTHER TERESA,GENOVA,TIRANA,ITA,ALB,ITALIA,ALBANIA,1,107,107,22,PASSAPORTO,,61+,SINGOLA TRATTA,WIZZ AIR MALTA,W46637,FERMATO,,,PASSAPORTO,61+
ALB,BGY,TIA,2024,01,14,2024-01-14 15:15:00,ORIO AL SERIO,RINAS MOTHER TERESA,BERGAMO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,87,87,22,VISTO,M,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,W43869,SEGNALATO,,,VISTO,18-30
ALB,TSF,TIA,2024,01,14,2024-01-14 06:50:00,TREVISO-SANT'ANGELO,RINAS MOTHER TERESA,TREVISO,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,126,126,14,VISTO,M,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W43851,RESPINTO,,,VISTO,31-45
ALB,BGY,TIA,2024,01,23,2024-01-23 12:10:00,ORIO AL SERIO,RINAS MOTHER TERESA,BERGAMO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,48,48,9,PERMESSO DI SOGGIORNO,N.D.,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,W43885,IN ATTESA,,,PERMESSO DI SOGGIORNO,18-30
ALB,BRI,TIA,2024,02,20,2024-02-20 11:35:00,PALESE,RINAS MOTHER TERESA,BARI,TIRANA,ITA,ALB,ITALIA,ALBANIA,9,32,32,3,VISTO,M,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,W46601,RESPINTO,,,VISTO,18-30
AFG,MXP,IKA,2024,01,3,2024-01-03 08:55:00,MALPENSA,IMAM KHOMEINI INTERNATIONAL,MILANO,TEHRAN,ITA,IRN,ITALIA,IRAN,2,3,4,0,N.D.,N.D.,N.D.,SINGOLA TRATTA,QATAR AIRWAYS,QR0127,OK,,,N.D.,N.D.
ALB,CIA,TIA,2024,02,20,2024-02-21 08:55:00,CIAMPINO,RINAS MOTHER TERESA,ROMA,TIRANA,ITA,ALB,ITALIA,ALBANIA,5,97,,,N.D.,N.D.,18-30,SINGOLA TRATTA,RYANAIR DAC,FR8360,SEGNALATO,,,N.D.,18-30
ALB,FCO,JED,2024,02,28,2024-02-28 22:30:00,FIUMICINO,KING ABDULAZIZ INTERNATIONAL,ROMA,JEDDAH,ITA,SAU,ITALIA,ARABIA SAUDITA,5,64,0,0,PERMESSO DI SOGGIORNO,M,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W48350,RESPINTO,,,PERMESSO DI SOGGIORNO,0-17
AFG,FCO,HKT,2024,01,22,2024-01-22 09:15:00,FIUMICINO,PHUKET INTERNATIONAL,ROMA,PHUKET,ITA,THA,ITALIA,THAILANDIA,5,1,1,1,PASSAPORTO,F,46-60,SINGOLA TRATTA,QATAR AIRWAYS,QR0131,RESPINTO,,,PASSAPORTO,46-60
ALB,MXP,TGD,2024,01,30,2024-01-30 16:45:00,MALPENSA,GOLUBOVCI,MILANO,PODGORICA,ITA,MNE,ITALIA,MONTENEGRO,2,1,1,0,N.D.,M,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,W44901,RESPINTO,,,N.D.,18-30
ALB,BGY,TIA,2024,01,7,2024-01-07 12:30:00,ORIO AL SERIO,RINAS MOTHER TERESA,BERGAMO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,93,93,21,N.D.,M,46-60,SINGOLA TRATTA,ALBAWINGS,2B0233,OK,,,N.D.,46-60
ALB,BGY,STN,2024,02,20,2024-02-20 20:45:00,ORIO AL SERIO,STANSTED,BERGAMO,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,2,1,1,1,VISTO,M,61+,SINGOLA TRATTA,RYANAIR DAC,FR4189,SEGNALATO,,R1,VISTO,61+
ALB,BGY,NCL,2024,01,13,2024-01-13 09:05:00,ORIO AL SERIO,NEWCASTLE,BERGAMO,NEWCASTLE,ITA,GBR,ITALIA,REGNO UNITO,2,2,2,1,PERMESSO DI SOGGIORNO,F,0-17,SINGOLA TRATTA,RYANAIR DAC,FR0460,RESPINTO,,R1,PERMESSO DI SOGGIORNO,0-17
ALB,FCO,JAX,2024,01,2,2024-01-02 20:10:00,FIUMICINO,JACKSONVILLE INTERNATIONAL,ROMA,JACKSONVILLE,ITA,USA,ITALIA,STATI UNITI,5,1,1,0,N.D.,F,0-17,SINGOLA TRATTA,DELTA AIR LINES,DL0066,,,,N.D.,0-17
ALB,AOI,TIA,2024,01,25,2024-01-25 11:15:00,FALCONARA,RINAS MOTHER TERESA,ANCONA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,76,76,9,N.D.,F,61+,SINGOLA TRATTA,WIZZ AIR MALTA,W43855,,,,N.D.,61+
ALB,MXP,LGW,2024,01,13,2024-01-13 20:50:00,MALPENSA,LONDON GATWICK,MILANO,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,2,3,3,0,N.D.,F,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,W45787,,,,N.D.,18-30
ALB,BGY,TIA,2024,01,18,,ORIO AL SERIO,RINAS MOTHER TERESA,BERGAMO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,148,148,17,N.D.,M,0-17,SINGOLA TRATTA,RYANAIR DAC,FR8350,FERMATO,,,N.D.,0-17
ALB,FCO,LAX,2024,01,8,2024-01-08 17:50:00,FIUMICINO,LOS ANGELES INTERNATIONAL,ROMA,LOS ANGELES,ITA,USA,ITALIA,STATI UNITI,5,1,1,1,N.D.,F,N.D.,SINGOLA TRATTA,DELTA AIR LINES,DL0182,IN ATTESA,,,N.D.,N.D.
AFG,VCE,IST,2024,01,13,2024-01-13 13:05:00,VENEZIA MARCO POLO,HAVALIMANI,VENEZIA,ISTANBUL,ITA,TUR,ITALIA,TURCHIA,4,1,1,1,PASSAPORTO,M,31-45,SINGOLA TRATTA,TURKISH AIRLINES,TK1871,SEGNALATO,,,PASSAPORTO,31-45
ALB,TRS,STN,2024,02,20,2024-02-20 06:45:00,RONCHI DEI LEGIONARI,STANSTED,TRIESTE,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,4,1,1,0,PERMESSO DI SOGGIORNO,M,46-60,SINGOLA TRATTA,RYANAIR DAC,FR0168,,,,PERMESSO DI SOGGIORNO,46-60
ALB,BGY,EMA,2024,02,11,2024-02-11 10:20:00,ORIO AL SERIO,EAST MIDLANDS,BERGAMO,DERBY,ITA,GBR,ITALIA,REGNO UNITO,2,1,1,1,CARTA D'IDENTITÀ,M,46-60,SINGOLA TRATTA,RYANAIR DAC,FR1702,RESPINTO,,,CARTA D'IDENTITÀ,46-60
ALB,GOA,TIA,2024,02,18,2024-02-26 16:05:00,CRISTOFORO COLOMBO,RINAS MOTHER TERESA,GENOVA,TIRANA,ITA,ALB,ITALIA,ALBANIA,1,155,155,18,N.D.,F,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W46637,,,,N.D.,31-45
ALB,NAP,TIA,2024,02,25,2024-02-25 16:55:00,NAPOLI CAPODICHINO,RINAS MOTHER TERESA,NAPOLI,TIRANA,ITA,ALB,ITALIA,ALBANIA,6,1,1,0,VISTO,M,N.D.,SINGOLA TRATTA,ITA AIRWAYS,AZ0585,IN ATTESA,,,VISTO,N.D.
ALB,BGY,RAK,2024,01,25,2024-01-25 06:15:00,ORIO AL SERIO,MENARA,BERGAMO,MARRAKECH,ITA,MAR,ITALIA,MAROCCO,2,4,4,0,N.D.,F,61+,SINGOLA TRATTA,RYANAIR DAC,FR3403,FERMATO,,,N.D.,61+
ALB,FCO,SAW,2024,02,18,2024-02-18 10:40:00,FIUMICINO,SABIHA GOKCEN,ROMA,ISTANBUL,ITA,TUR,ITALIA,TURCHIA,5,1,1,0,PERMESSO DI SOGGIORNO,M,61+,SINGOLA TRATTA,PEGASUS AIRLINES,PC1223,SEGNALATO,,,PERMESSO DI SOGGIORNO,61+
ALB,MXP,TIA,2024,01,9,2024-01-09 19:50:00,MALPENSA,RINAS MOTHER TERESA,MILANO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,100,100,104,N.D.,M,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W46609,SEGNALATO,,,N.D.,31-45
ALB,PSA,TIA,2024,01,1,2024-01-01 11:20:00,GALILEO GALILEI,RINAS MOTHER TERESA,PISA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,101,101,25,PASSAPORTO,F,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W43853,IN ATTESA,,,PASSAPORTO,46-60
,FCO,DXB,2024,02,16,2024-02-16 08:55:00,FIUMICINO,DUBAI INTERNATIONAL,ROMA,DUBAI,ITA,ARE,ITALIA,EMIRATI ARABI UNITI,5,1,1,0,PERMESSO DI SOGGIORNO,M,61+,SINGOLA TRATTA,EMIRATES,EK0097,,,,PERMESSO DI SOGGIORNO,61+
ALB,RMI,TIA,2024,01,23,2024-01-23 10:30:00,MIRAMARE,RINAS MOTHER TERESA,RIMINI,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,142,142,15,N.D.,F,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W43875,RESPINTO,,,N.D.,46-60
ALB,BLQ,STN,2024,01,28,2024-01-28 08:00:00,GUGLIELMO MARCONI,STANSTED,BOLOGNA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,8,2,2,1,CARTA D'IDENTITÀ,N.D.,18-30,SINGOLA TRATTA,N.D.,FR0194,FERMATO,,,CARTA D'IDENTITÀ,18-30
ALB,FCO,SYD,2024,01,24,,FIUMICINO,KINGSFORD SMITH,ROMA,SIDNEY,ITA,AUS,ITALIA,AUSTRALIA,5,1,0,0,N.D.,F,18-30,SINGOLA TRATTA,CHINA SOUTHERN AIRLINES,CZ0661,,,,N.D.,18-30
ALB,FCO,ICN,2024,01,1,2024-01-01 17:55:00,FIUMICINO,INCHEON INTERNATIONAL,ROMA,SEOUL,ITA,KOR,ITALIA,COREA DEL SUD,5,2,4,0,CARTA D'IDENTITÀ,M,0-17,SINGOLA TRATTA,TURKISH AIRLINES,TK1863,,,,CARTA D'IDENTITÀ,0-17
ALB,MXP,TIA,2024,02,10,,MALPENSA,RINAS MOTHER TERESA,MILANO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,91,91,11,PASSAPORTO,M,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W46609,FERMATO,,,PASSAPORTO,0-17
ALB,VRN,TIA,2024,02,3,,VERONA VILLAFRANCA,RINAS MOTHER TERESA,VERONA,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,102,102,17,PASSAPORTO,F,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W43849,SEGNALATO,,,PASSAPORTO,31-45
ALB,TRN,BHX,2024,01,20,2024-01-20 11:35:00,SANDRO PERTINI,BIRMINGHAM INTERNATIONAL,TORINO,BIRMINGHAM,ITA,GB,ITALIA,REGNO UNITO,1,1,1,0,N.D.,M,46-60,SINGOLA TRATTA,RYANAIR DAC,FR9806,SEGNALATO,,,N.D.,46-60
ALB,TRN,TIA,2024,02,7,2024-02-07 07:10:00,SANDRO PERTINI,RINAS MOTHER TERESA,TORINO,TIRANA,ITA,ALB,ITALIA,ALBANIA,1,88,88,23,PERMESSO DI SOGGIORNO,F,61+,SINGOLA TRATTA,WIZZ AIR MALTA,W46603,IN ATTESA,,,PERMESSO DI SOGGIORNO,61+
ALB,BRI,TIA,2024,01,27,2024-01-27 20:55:00,PALESE,RINAS MOTHER TERESA,BARI,TIRANA,ITA,ALB,ITALIA,ALBANIA,9,24,24,6,PERMESSO DI SOGGIORNO,M,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,W46647,,,,PERMESSO DI SOGGIORNO,18-30
AGO,FCO,MPM,2024,02,17,2024-02-17 00:05:00,FIUMICINO,MAPUTO INTERNATIONAL,ROMA,MAPUTO,ITA,MOZ,ITALIA,MOZAMBICO,5,1,1,0,VISTO,,N.D.,SINGOLA TRATTA,ETHIOPIAN AIRLINES,ET0712,RESPINTO,,,VISTO,N.D.
ALB,FCO,TIA,2024,01,29,2024-01-29 16:10:00,FIUMICINO,RINAS MOTHER TERESA,ROMA,TIRANA,ITA,ALB,ITALIA,ALBANIA,5,54,54,2,PASSAPORTO,,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,W43887,IN ATTESA,,,PASSAPORTO,18-30
AGO,MXP,LAD,2024,01,13,2024-01-13 08:40:00,MALPENSA,4 DE FEVEREIRO,MILANO,LUANDA,ITA,AGO,ITALIA,ANGOLA,2,4,,1,PERMESSO DI SOGGIORNO,,0-17,SINGOLA TRATTA,TURKISH AIRLINES,TK1873,FERMATO,,,PERMESSO DI SOGGIORNO,0-17
ALB,VCE,SSH,2024,01,14,2024-01-14 13:45:00,VENEZIA MARCO POLO,SHARM EL-SHEIKH INTERNATIONAL,VENEZIA,SHARM EL SHEIKH,ITA,EGY,ITALIA,EGITTO,4,4,4,0,N.D.,M,18-30,SINGOLA TRATTA,EASYJET EUROPE,EC4086,,,,N.D.,18-30
ALB,BGY,SAW,2024,02,25,2024-02-25 13:15:00,ORIO AL SERIO,SABIHA GOKCEN,BERGAMO,ISTANBUL,ITA,TUR,ITALIA,TURCHIA,2,1,1,1,CARTA D'IDENTITÀ,M,46-60,SINGOLA TRATTA,PEGASUS AIRLINES,PC1213,IN ATTESA,,,CARTA D'IDENTITÀ,46-60
ALB,TSF,TIA,2024,02,17,2024-02-17 15:25:00,TREVISO-SANT'ANGELO,RINAS MOTHER TERESA,TREVISO,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,84,84,12,CARTA D'IDENTITÀ,M,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W44809,OK,,,CARTA D'IDENTITÀ,0-17
ALB,VCE,LGW,2024,02,24,2024-02-24 09:10:00,VENEZIA MARCO POLO,LONDON GATWICK,VENEZIA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,4,1,1,0,N.D.,F,18-30,SINGOLA TRATTA,,W45789,RESPINTO,,,N.D.,18-30
ALB,FCO,SKG,2024,01,14,2024-01-14 18:05:00,FIUMICINO,MACEDONIA INTERNATIONAL,ROMA,THESSALONIKI,ITA,GRC,ITALIA,GRECIA,5,1,1,0,VISTO,,31-45,SINGOLA TRATTA,AIR SERBIA,JU0534,FERMATO,,,VISTO,31-45
ALB,BLQ,RMO,2024,01,22,2024-01-22 20:00:00,GUGLIELMO MARCONI,CHISINAU INTERNATIONAL AIRPORT,BOLOGNA,CHISINAU,ITA,MDA,ITALIA,MOLDAVIA,8,1,1,0,N.D.,F,0-17,SINGOLA TRATTA,HISKY EUROPE,H40485,RESPINTO,,,N.D.,0-17
ALB,CAG,TIA,2024,02,4,2024-02-04 16:55:00,ELMAS,RINAS MOTHER TERESA,CAGLIARI,TIRANA,ITA,ALB,ITALIA,ALBANIA,5,2,0,0,PERMESSO DI SOGGIORNO,,46-60,SINGOLA TRATTA,ITA AIRWAYS,AZ0585,OK,,,PERMESSO DI SOGGIORNO,46-60
ALB,TSF,TIA,2024,02,12,2024-02-12 09:00:00,TREVISO-SANT'ANGELO,RINAS MOTHER TERESA,TREVISO,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,102,102,12,PERMESSO DI SOGGIORNO,,46-60,SINGOLA TRATTA,RYANAIR DAC,FR8400,,,,PERMESSO DI SOGGIORNO,46-60
AFG,NAP,KBL,2024,02,21,2024-02-21 07:30:00,NAPOLI CAPODICHINO,KHWAJA RAWASH,NAPOLI,KABUL,ITA,AFG,ITALIA,AFGHANISTAN,6,3,3,3,VISTO,F,61+,SINGOLA TRATTA,FLY DUBAI,FZ1681,OK,,,VISTO,61+
ALB,MXP,MEL,2024,02,2,2024-02-02 03:10:00,MALPENSA,TULLAMARINE,MILANO,MELBOURNE,ITA,AUS,ITALIA,AUSTRALIA,2,1,1,1,N.D.,M,46-60,SINGOLA TRATTA,ETIHAD AIRWAYS,EY0081,FERMATO,,,N.D.,46-60
ALB,BGY,STN,2024,01,3,2024-01-03 09:35:00,ORIO AL SERIO,STANSTED,BERGAMO,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,2,1,1,0,CARTA D'IDENTITÀ,M,31-45,SINGOLA TRATTA,RYANAIR DAC,FR3674,SEGNALATO,,,CARTA D'IDENTITÀ,31-45
ALB,BLQ,TIA,2024,01,28,,GUGLIELMO MARCONI,RINAS MOTHER TERESA,BOLOGNA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,107,107,21,N.D.,M,18-30,SINGOLA TRATTA,RYANAIR DAC,FR8399,RESPINTO,,,N.D.,18-30
ALB,FCO,TIA,2024,02,9,,FIUMICINO,RINAS MOTHER TERESA,ROMA,TIRANA,ITA,ALB,ITALIA,ALBANIA,5,97,97,3,PERMESSO DI SOGGIORNO,M,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W43887,IN ATTESA,,,PERMESSO DI SOGGIORNO,31-45
ALB,TRN,LGW,2024,01,4,2024-01-04 08:55:00,SANDRO PERTINI,LONDON GATWICK,TORINO,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,1,1,1,0,N.D.,F,18-30,SINGOLA TRATTA,EASYJET,,OK,,,N.D.,18-30
ALB,MXP,TIA,2024,01,18,2024-01-18 18:35:00,MALPENSA,RINAS MOTHER TERESA,MILANO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,102,102,6,PERMESSO DI SOGGIORNO,F,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W4 6629,IN ATTESA,,,PERMESSO DI SOGGIORNO,0-17
ALB,BRI,TIA,2024,01,13,,PALESE,RINAS MOTHER TERESA,BARI,TIRANA,ITA,ALB,ITALIA,ALBANIA,9,34,34,6,PASSAPORTO,M,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W46647,OK,,,PASSAPORTO,31-45
ALB,MXP,JFK,2024,02,10,2024-02-10 17:00:00,MALPENSA,JOHN F KENNEDY INTERNATIONAL,MILANO,NEW YORK,ITA,USA,ITALIA,STATI UNITI,2,2,2,0,PERMESSO DI SOGGIORNO,M,31-45,SINGOLA TRATTA,NEOS S.P.A.,NO0789,,,,PERMESSO DI SOGGIORNO,31-45
